Despesa,Des_Despesa,Fornecedor
30B1200.4,30B1200.4 - Despesas de Funcionamento - Viagens,
PB1238.3,PB1238.3 - Manutenção Software DealerNet - Oficina Assistencial,
PB1286.2,PB1286.2 - ICT per QUALITY,FGP
PB1286.3,PB1286.3 - AMS MAPS,FGP
PB1276.5,PB1276.5 - Mobile Services,BT
PB1293.4,"PB1293.4 - Serviço de Governança EUS - SCCM, SEP",Stefanini
PB1293.3,PB1293.3 - Serviço de Manutenção da plataforma MDM Airwatch,
PB1293.1,PB1293.1 - Serviço de Governança EUS,Force One
PB1330.4,PB1330.4 - Leasing de computadores 2018/2,HP Financial
PB1330.3,PB1330.3 - Leasing de computadores 2018/1,HP Financial
PB1330.2,PB1330.2 - Leasing de computadores 2017/2,HP Financial
PB1525.2,PB1525.2 - Telecom Expenses Management,BT
PB1541.2,PB1541.2 - HEAD - 3o Turno,Head
PB1541.3,PB1541.3 - HEAD - Peças de Reposição e manutenção,Head
PB1593.1,PB1593.1 - Suporte Especializado EUS,Stefanini
PB1606.1,PB1606.1 - MDM - Licensing Growth and Support,FCA Item
30B1200.1,30B1200.1 - Despesas de Funcionamento - Manutenção,
30B1200.2,30B1200.2 - Despesas de Funcionamento - Material de Consumo,
30B1200.3,30B1200.3 - Despesas de Funcionamento - Eventos,
30Q1203.2,30Q1203.2 - Despesas de Funcionamento - Viagens,
30Q1203.1,30Q1203.1 - Despesas de Funcionamento - Manutenção,
30Q1206.2,30Q1206.2 - Despesas de Viagens ICT on-going,
30Q1206.1,30Q1206.1 - Transferência SG&A - Engenharia,
PB1201.2,PB1201.2 - Manutenções Evolutivas para FCA Argentina (Revenue Cycle),IBM e Diversos
PB1201.3,PB1201.3 - Manutenções Evolutivas Relatórios Financeiros GS3,T-Systems
PB1201.1,PB1201.1 - Manutenções Evolutivas,IBM e Diversos
PB1202.2,PB1202.2 - Manutenção Software E-Forms (NFe),Unisys
PB1202.3,PB1202.3 - Manutenção Software XRT,XRT
PB1202.4,PB1202.4 - ADSOLUTIONS - Licença AD Tracking,AD Solutions
PB1203.2,"PB1203.2 - AMS  ZOOM, Semplice e Niagara + TCC Essbase",Techedge
PB1203.3,PB1203.3 - Serviços AR Full SAP,Squadra
PB1203.4,PB1203.4 - AMS aplicativos FOX PRO,BH FOX
PB1203.5,PB1203.5 - TCC Essbase Hyperion,Techedge
PB1203.7,PB1203.7 - AMS Sistema Controle de Remessa,Avalara
PB1203.8,PB1203.8 - Serviços Controladoria de Custos,Stefanini
PB1203.30,PB1203.30 - Serviços Controladoria Comercial,Techedge
PB1203.31,PB1203.31 - AMS Ferramenta de Controles Internos SOX,
PB1203.32,PB1203.32 - AMS Controle Industrial,
PB1203.33,PB1203.33 - AMS NPV System,
PB1203.34,PB1203.34 - AMS Average Cost Stock Evaluation,
PB1204.2,PB1204.2 - PRODUCT COSTING AMS FIASA/FAASA,FCA Itália
PB1204.3,PB1204.3 - ZOOM licenses maintenance,FCA Itália
PB1204.4,PB1204.4 - SEMPLICE,FCA Itália
PB1204.5,PB1204.5 - ACP - Supporto ex enti Fiat Powertrain,FCA Itália
PB1204.6,PB1204.6 - SEMPLICE licenses maintenance,FCA Itália
PB1204.1,PB1204.1 - SEMPLICE,FCA Itália
PB1207.2,"PB1207.2 - SPED - Renovação SW Connect, DB2 e WebSphere",IBM
PB1207.3,PB1207.3 - Manutenção Software Trillium,NODES
PB1208.53,PB1208.53 - Serviços de Arquitetura Salesforce,JFOX
PB1208.52,PB1208.52 - AMS Sales Operations,Force One
PB1208.51,PB1208.51 - AMS Network Development,Force One
PB1208.50,PB1267.6 - Smart AMS DW Garantia,
PB1208.4,PB1208.4 - Help Desk Concessionárias,Stefanini
PB1208.7,PB1208.7 - AMS Portal DPR/WCD/SGTR,BHTEC
PB1208.10,PB1208.10 - AMS DW Logistico,IBM
PB1208.18,PB1267.5 - AMS IBM Planning Analytics,TBD
PB1208.47,PB1208.47 - AMS DGR,DealerNet
PB1209.2,PB1209.2 - DB CARE,FCA Itália
PB1209.3,PB1209.3 - Sales & Commercial Central support,FCA Itália
PB1209.4,PB1209.4 - .Link,FCA Itália
PB1209.5,PB1209.5 - DB CARE,FCA Itália
PB1209.6,PB1209.6 - PRODUCT CATALOGUE,FCA Itália
PB1209.7,PB1209.7 - .Link,FCA Itália
PB1209.1,PB1209.1 - PRODUCT CATALOGUE,FCA Itália
