"Despesa_Sap","Despesa_Tm1"
"Fev - PB1201.1 - PROV MANUTENÇÕES EVOLUTIVAS FINANCE","PB1201.1 - Manutenções Evolutivas"
"Fev - PB1201.2 - PROV MANUTENÇÕES EVOLUTIVAS FINANCE","PB1201.1 - Manutenções Evolutivas"
"Fev - PB1202.1 - PROV UNISYS MANUTENÇÃO SW E FORMES","PB1202.2 - MANUTENÇÃO SOFTWARE E-FORMS (NFE)"
"Fev - PB1202.2 - PROV XRT MANUTENÇÃO SW XRT DEZEMBR","PB1202.3 - MANUTENÇÃO SOFTWARE XRT"
"Fev - PB1202.3 - PROV AD SOLUTIONS MANUTENÇÃO SW ADTRA","PB1202.4 - ADSOLUTIONS - Licença AD Tracking"
"Fev - PB1202.4 - ALOCAÇÃO DE SOFTWARE E FORMES","PB1202.2 - MANUTENÇÃO SOFTWARE E-FORMS (NFE)"
"Fev - PB1202.6 - 0800029311 UNISYS BRASIL LTDA EM","PB1202.2 - MANUTENÇÃO SOFTWARE E-FORMS (NFE)"
"Fev - PB1202.7 - 0800029311 UNISYS BRASIL LTDA EM","PB1202.2 - MANUTENÇÃO SOFTWARE E-FORMS (NFE)"
"Fev - PB1202.8 - 0800008044 SAGE XRT BRASIL LTDA EM","PB1202.3 - MANUTENÇÃO SOFTWARE XRT"
"Fev - PB1202.9 - 0800008044 SAGE XRT BRASIL LTDA EM","PB1202.3 - MANUTENÇÃO SOFTWARE XRT"
"Fev - PB1202.10 - PROV AD SOLUTIONS MANUTENÇÃO SW ADTRA","PB1202.4 - ADSOLUTIONS - Licença AD Tracking"
"Fev - PB1202.11 - PROV UNISYS MANUTENÇÃO SW E FORMES","PB1202.2 - MANUTENÇÃO SOFTWARE E-FORMS (NFE)"
"Fev - PB1202.12 - PROV SAGE XRT MANUTENÇÃO SW XRT","PB1202.3 - MANUTENÇÃO SOFTWARE XRT"
"Fev - PB1203.1 - PROV STEFANINI SISTEMAS FINANCE DEZ","PB1203.4 - AMS aplicativos FOX PRO"
"Fev - PB1203.2 - PROV TECHEDGE AMS ZOOM, SEMPLICE E NI","PB1203.2 - AMS  ZOOM, Semplice e Niagara + TCC Essbase"
"Fev - PB1203.3 - PROV BHFOX AMS APLICATIVOS FOX PRO","PB1203.4 - AMS APLICATIVOS FOX PRO"
"Fev - PB1203.4 - PROV TECHEDGE TCC ESSBASE HYPERION","PB1203.2 - AMS  ZOOM, Semplice e Niagara + TCC Essbase"
"Fev - PB1203.5 - PROV SAGE AMS XRT JANEIRO/18","PB1203.1 - AMS  XRT"
"Fev - PB1203.6 - APP PFS SUPORTE ANA FINANÇAS","PB1203.3 - Serviços AR Full SAP"
"Fev - PB1203.7 - APP PFS SUPORTE ANA FINANÇAS","PB1203.3 - Serviços AR Full SAP"
"Fev - PB1203.8 - GESTÃO MENSAL BHFOX JAN/FEV 2018","PB1203.4 - AMS aplicativos FOX PRO"
"Fev - PB1203.9 - APP PFS SUPORTE ANA FINANÇAS","PB1203.3 - Serviços AR Full SAP"
"Fev - PB1203.10 - APP PFS SUPORTE ANA FINANÇAS","PB1203.3 - Serviços AR Full SAP"
"Fev - PB1203.11 - 0800031610 SQUADRA TECNOLOGIA S EM","PB1203.3 - Serviços AR Full SAP"
"Fev - PB1203.12 - 0800031610 SQUADRA TECNOLOGIA S EM","PB1203.3 - Serviços AR Full SAP"
"Fev - PB1203.13 - 0800031610 SQUADRA TECNOLOGIA S EM","PB1203.3 - Serviços AR Full SAP"
"Fev - PB1203.14 - 0800031610 SQUADRA TECNOLOGIA S EM","PB1203.3 - Serviços AR Full SAP"
"Fev - PB1203.15 - 0800031610 SQUADRA TECNOLOGIA S EM","PB1203.3 - Serviços AR Full SAP"
"Fev - PB1203.16 - 0800031610 SQUADRA TECNOLOGIA S EM","PB1203.3 - Serviços AR Full SAP"
"Fev - PB1203.17 - 0800004336 BH FOX INFORMATICA L EM","PB1203.4 - AMS aplicativos FOX PRO"
"Fev - PB1203.18 - 0800004336 BH FOX INFORMATICA L EM","PB1203.4 - AMS aplicativos FOX PRO"
"Fev - PB1203.19 - 0800002936 STEFANINI CONSULTORI EM","PB1203.3 - Serviços AR Full SAP"
"Fev - PB1203.20 - 0800002936 STEFANINI CONSULTORI EM","PB1203.3 - Serviços AR Full SAP"
"Fev - PB1203.21 - PROV KEEPTRUE AVALARA A M S MANUTEN","PB1203.7 - AMS Sistema Controle de Remessa"
"Fev - PB1203.22 - PROV STEFANINI SISTEMAS FINANCE REF","PB1203.3 - Serviços AR Full SAP"
"Fev - PB1203.23 - PROV TECHEDGE AMS ZOOM, SEMPLICE E NI","PB1203.2 - AMS  ZOOM, Semplice e Niagara + TCC Essbase"
"Fev - PB1203.24 - PROV TECHEDGE TCC ESSBASE HYPERION","PB1203.2 - AMS  ZOOM, Semplice e Niagara + TCC Essbase"
"Fev - PB1203.25 - PROV SAGE XRT AMS XRT REF JANEI","PB1203.1 - AMS  XRT"
"Fev - PB1204.1 - PROV ICT DESP FCA ITA JAN DEZ 2016","PB1204.2 - PRODUCT COSTING AMS FIASA/FAASA"
"Fev - PB1204.2 - PROV ICT DESP FCA ITA JAN DEZ 2017","PB1204.2 - PRODUCT COSTING AMS FIASA/FAASA"
"Fev - PB1204.3 - PROV ICT DESP FCA ITA JAN DEZ 2018","PB1204.2 - PRODUCT COSTING AMS FIASA/FAASA"
