PB1201.3 - MANUTENÇÕES EVOLUTIVAS RELATÓRIOS FINANCEIROS GS3 |***| PB1201.1 - PROV.MANUTENÇÕES EVOLUTIVAS FINANCE |***| {,EVOLUTIVASFINANCE} |***| 2
PB1201.3 - MANUTENÇÕES EVOLUTIVAS RELATÓRIOS FINANCEIROS GS3 |***| PB1201.2 - PROV.MANUTENÇÕES EVOLUTIVAS FINANCE |***| {,EVOLUTIVASFINANCE} |***| 2
PB1202.3 - MANUTENÇÃO SOFTWARE XRT |***| PB1202.1 - PROV. XRT - MANUTENÇÃO DE LICENÇAS XRT - |***| {,XRTMANUTENÇÃO} |***| 2
PB1202.2 - MANUTENÇÃO SOFTWARE E-FORMS (NFE) |***| PB1202.2 - PROV. UNISYS - MANUTENÇÃO SW  E-FORMES - |***| {,MANUTENÇÃOSWE-FORMES} |***| 3
PB1202.3 - MANUTENÇÃO SOFTWARE XRT |***| PB1202.3 - PROV. XRT - MANUTENÇÃO SW  XRT - DEZEMBR |***| {,MANUTENÇÃOSWXRT} |***| 3
PB1202.2 - MANUTENÇÃO SOFTWARE E-FORMS (NFE) |***| PB1202.4 - PROV. AD SOLUTIONS - MANUTENÇÃO SW ADTRA |***| {,MANUTENÇÃOSW} |***| 2
NAO ENCONTROU MATCH |***| PB1202.5 - PEP PB1202 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1203.1 - PROV. STEFANINI - SISTEMAS FINANCE - DEZ |***| [] |***| 0
PB1203.2 - AMS  ZOOM |***| PB1203.2 - ICT AMS MANUT.CORRET. E SUPOR. APLICACAO |***| {,AMS} |***| 1
NAO ENCONTROU MATCH |***| PB1203.3 - APP_PFS__SISTEMAS FINANCE |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1203.4 - SUPORTE ANALISTA PARA FINANÇAS |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1203.5 - PROV. STEFANINI - SISTEMAS FINANCE - DEZ |***| [] |***| 0
PB1203.2 - AMS  ZOOM |***| PB1203.6 - PROV. TECHEDGE - AMS ZOOM |***| {,AMSZOOM} |***| 2
PB1203.4 - AMS APLICATIVOS FOX PRO |***| PB1203.7 - PROV. BHFOX - AMS APLICATIVOS FOX PRO - |***| {,AMSFOXPROAPLICATIVOS} |***| 4
PB1203.5 - TCC ESSBASE HYPERION |***| PB1203.8 - PROV. TECHEDGE - TCC ESSBASE HYPERION - |***| {,HYPERIONTCCESSBASE} |***| 3
PB1203.1 - AMS  XRT |***| PB1203.9 - PROV. SAGE - AMS XRT - JANEIRO/18 |***| {,XRTAMS} |***| 2
NAO ENCONTROU MATCH |***| PB1203.10 - SUPORTE ANALISTA PARA FINANÇAS |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1203.11 - SUPORTE ANALISTA PARA FINANÇAS |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1203.12 - PEP PB1203 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1204.1 - PROV.ICT DESP FCA ITA JAN-DEZ 2016 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1204.2 - PROV.ICT DESP FCA ITA JAN-DEZ 2017 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1204.3 - TRANSFERENCIA CAMBIAL FGA ICT |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1204.4 - PROV.ICT DESP FCA ITA JAN-DEZ 2016 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1204.5 - PROV.ICT DESP FCA ITA JAN-DEZ 2017 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1204.6 - PROV.ICT DESP FCA ITA JAN-DEZ 2018 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1204.7 - PEP PB1204 |***| [] |***| 0
NAO EXISTE TM1 |***| PB1206.1 - PROV.MANUTENÇÕES EVOLUTIVAS COMECIAL |***| [] |***| 0
